"","south.Species","south.Camr_Nm","south.Latitud","south.Longitd","na.rm"
"191","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"192","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"193","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"194","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"195","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"196","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"197","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"198","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"199","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"200","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"201","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"202","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"203","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"204","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"205","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"206","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"207","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"208","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"209","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"210","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"211","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"212","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"213","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"214","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"215","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"216","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"217","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"218","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"219","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"220","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"221","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"222","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"223","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"224","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"225","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"226","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"227","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"228","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"229","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"230","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"231","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"232","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"233","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"234","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"235","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"236","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"237","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"238","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"239","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"240","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"241","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"242","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"243","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"244","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"245","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"246","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"247","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"248","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"249","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"250","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"251","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"252","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"253","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"254","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"255","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"256","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"257","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"258","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"259","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"260","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"261","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"262","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"263","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"264","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"265","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"266","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"267","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"268","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"269","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"270","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"271","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"272","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"273","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"274","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"275","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"276","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"277","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"278","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"279","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"280","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"281","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"282","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"283","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"284","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"285","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"286","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"287","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"288","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"289","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"290","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"291","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"292","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"293","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"294","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"295","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"296","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"297","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"298","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"299","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"300","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"301","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"302","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"303","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"304","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"305","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"306","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"307","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"308","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"309","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"310","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"311","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"312","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"313","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"314","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"315","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"316","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"317","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"318","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"319","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"320","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"321","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"322","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"323","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"324","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"325","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"326","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"327","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"328","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"329","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"330","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"331","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"332","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"333","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"334","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"335","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"336","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"337","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"338","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"339","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"340","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"341","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"342","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"343","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"344","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"345","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"346","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"347","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"348","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"349","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"350","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"351","Dasypus novemcitus","K10",9.264,-83.0405,TRUE
"352","Dasypus novemcitus","K10",9.264,-83.0405,TRUE
"353","Dasypus novemcitus","K10",9.264,-83.0405,TRUE
"354","Dasypus novemcitus","K10",9.264,-83.0405,TRUE
"355","Dasypus novemcitus","K10",9.264,-83.0405,TRUE
"356","Dasypus novemcitus","K10",9.264,-83.0405,TRUE
"357","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"358","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"359","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"360","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"361","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"362","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"363","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"364","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"365","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"366","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"367","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"368","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"369","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"370","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"371","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"372","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"373","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"374","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"375","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"376","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"377","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"378","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"379","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"380","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"381","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"382","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"383","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"384","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"385","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"386","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"387","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"388","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"389","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"390","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"391","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"392","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"393","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"394","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"395","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"396","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"397","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"398","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"399","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"400","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"401","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"402","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"403","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"404","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"405","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"406","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"407","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"408","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"409","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"410","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"411","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"412","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"413","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"414","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"415","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"416","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"417","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"418","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"419","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"420","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"421","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"422","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"423","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"424","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"425","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"426","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"427","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"428","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"429","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"430","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"431","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"432","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"433","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"434","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"435","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"436","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"437","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"438","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"439","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"440","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"441","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"442","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"443","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"444","Tapirus bairdii","K10",9.264,-83.0405,TRUE
"445","Dasypus novemcitus","K10",9.264,-83.0405,TRUE
"446","Dasypus novemcitus","K10",9.264,-83.0405,TRUE
"447","Dasypus novemcitus","K10",9.264,-83.0405,TRUE
