field_1,Station,Lat,Long,01AvgMaxTemp,02AvgMaxTempAM,12AvgMaxTempAM,03AvgMaxTempAM,04AvgMaxTempAM,07AvgMaxTempAM,08AvgMaxTempAM,09AvgMaxTempAM,10AvgMaxTempAM,11AvgMaxTempAM,01AvgMinTempAM,02AvgMinTempAM,12AvgMinTempAM,03AvgMinTempAM,04AvgMinTempAM,07AvgMinTempAM,08AvgMinTempAM,09AvgMinTempAM,10AvgMinTempAM,11AvgMinTempAM
"74",CTES12,-8.873369,-63.221206,"31","31","31","30","31","33","34","34","33","33","21","21","21","21","21","18","19","20","21","21"
"75",CTES13,-8.891394,-63.217609,"31","31","31","30","31","33","34","34","33","33","21","21","21","21","22","18","19","20","21","21"
"76",CTES14,-8.906545,-63.21944,"31","31","31","30","31","33","34","34","33","33","21","21","21","21","22","18","19","20","21","21"
"77",CTES15,-8.873314,-63.202615,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"78",CTES16,-8.890116,-63.2023,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"79",CTES17,-8.908605,-63.202846,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"80",CTES20,-8.909532,-63.18387,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"81",CTES21,-8.928518,-63.185726,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"82",CTES22,-8.926767,-63.202693,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"83",CTES23,-8.926798,-63.221874,"31","31","31","31","31","33","34","34","33","33","21","21","21","21","22","18","19","20","21","21"
"84",CTES24,-8.943402,-63.182845,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"85",CTES25,-8.94658,-63.204156,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"86",CTES26,-8.944815,-63.166221,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"87",CTES27,-8.96065,-63.180442,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"88",CTES28,-8.962208,-63.149336,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"89",CTES29,-8.943738,-63.149081,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"90",CTES31,-8.927363,-63.169452,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"91",CTES37,-8.963227,-63.204722,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"92",CTES38,-8.98057,-63.240885,"31","31","31","31","31","33","34","34","33","33","21","21","21","21","21","18","19","20","21","21"
"93",CTES39,-8.981114,-63.1313,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"94",CTES40,-8.965853,-63.221765,"31","31","31","31","31","33","34","34","33","33","21","21","21","21","21","18","19","20","21","21"
"95",CTES42,-8.979994,-63.218583,"31","31","31","31","31","33","34","34","33","33","21","21","21","21","21","18","19","20","21","21"
"96",CTES43,-8.961295,-63.163543,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"97",CTES44,-8.980034,-63.20054,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"98",CTES60,-8.859033,-63.246846,"31","31","31","30","31","33","34","34","33","33","21","21","21","21","21","18","19","20","21","21"
"99",CTES61,-8.857319,-63.24082,"31","31","31","30","31","33","34","34","33","33","21","21","21","21","21","18","19","20","21","21"
"100",CTES62,-8.872671,-63.195867,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"101",CTES63,-8.888177,-63.238193,"31","31","31","30","31","33","34","34","33","33","21","21","21","21","22","18","19","20","21","21"
"102",CTES64,-8.934887,-63.211182,"31","31","31","31","31","33","34","34","33","33","21","21","21","21","22","18","19","20","21","21"
"103",CTES65,-8.95008,-63.191971,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"104",CTES66,-8.916009,-63.226915,"31","31","31","30","31","33","34","34","33","33","21","21","21","21","22","18","19","20","21","21"
"105",CTES67,-8.898279,-63.236525,"31","31","31","30","31","33","34","34","33","33","21","21","21","21","22","18","19","20","21","21"
"106",CTCARCACA,-8.953832,-63.168738,"31","31","31","30","31","33","34","33","33","33","21","21","21","21","21","18","19","20","21","21"
"107",PEC01,-13.328052,-61.957745,"31","30","31","30","31","32","35","34","34","34","21","22","21","21","21","18","18","20","22","21"
"108",PEC02,-13.336015,-61.976232,"31","30","31","30","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"109",PEC03,-13.400532,-61.874239,"31","30","31","31","31","32","35","34","34","34","21","22","21","21","21","17","18","20","22","21"
"110",PEC04,-13.398672,-61.892351,"31","30","31","31","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"111",PEC05,-13.420222,-61.886192,"31","30","31","30","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"112",PEC06,-13.423454,-61.908666,"31","30","31","30","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"113",PEC07,-13.477111,-61.836568,"31","30","31","30","31","32","34","34","34","34","21","22","21","21","21","18","18","20","22","21"
"114",PEC08,-13.494269,-61.839595,"31","30","31","30","31","32","34","34","34","34","21","22","21","21","21","18","18","20","22","21"
"115",PEC09,-13.480659,-61.861692,"31","30","31","30","31","32","34","34","34","34","21","22","21","21","21","18","18","20","22","21"
"116",PEC10,-13.50243,-61.863907,"31","30","31","30","31","32","34","34","34","34","21","22","21","21","21","18","18","20","22","21"
"117",PEC11,-13.304233,-62.020189,"31","30","31","30","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"118",PEC12,-13.322405,-62.015363,"31","30","31","30","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"119",PEC13,-13.337222,-61.999239,"31","30","31","30","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"120",PEC14,-13.357587,-61.988522,"31","30","31","30","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"121",PEC15,-13.373448,-61.952899,"31","30","31","30","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"122",PEC16,-13.383149,-61.914761,"31","30","31","31","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"123",PEC17,-13.354292,-61.943432,"31","30","31","30","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"124",PEC18,-13.368613,-61.902123,"31","30","31","31","31","32","34","34","34","34","21","22","21","21","21","18","18","20","22","21"
"125",PEC19,-13.431714,-61.854246,"31","30","31","31","31","32","34","34","34","34","21","22","21","21","21","18","18","20","22","21"
"126",PEC20,-13.438751,-61.878433,"31","30","31","30","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"127",PEC21,-13.245876,-62.09523,"31","30","31","30","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"128",PEC22,-13.277738,-62.072257,"31","30","31","30","31","32","34","33","34","34","21","22","21","21","21","18","18","20","22","21"
"129",PEC36EX,-13.15889,-61.630611,"31","30","31","31","31","33","35","34","35","34","21","22","21","21","21","17","18","20","21","21"
"130",PEC44EX,-13.097769,-61.518375,"31","30","31","31","31","33","35","34","35","34","21","21","21","21","21","17","18","20","21","21"
"131",PEC50,-13.186042,-61.25645,"31","30","31","31","31","33","35","34","35","34","21","21","21","21","21","17","18","20","21","21"
"132",PEC56,-13.143332,-61.371818,"31","30","31","31","31","33","35","34","34","34","21","21","21","21","21","17","18","20","21","21"
"133",PEC59,-13.122527,-61.628758,"31","30","31","31","31","33","35","34","34","34","21","22","21","21","21","17","18","20","21","21"
"134",PEC60,-13.109039,-61.628237,"31","30","31","31","31","33","35","34","34","34","21","22","21","21","21","17","18","20","21","21"
"135",PEC61,-13.165451,-61.673907,"31","30","31","31","31","33","35","34","34","34","21","22","21","21","21","17","18","20","21","21"
"136",PEC66,-13.208754,-61.739573,"31","30","32","31","31","33","35","34","35","34","21","22","21","21","21","17","18","20","21","21"
"137",PEC69,-13.194477,-61.698435,"31","30","32","31","31","33","35","34","35","34","21","22","21","21","21","17","18","20","21","21"
"138",PEC76,-13.121262,-61.45486,"31","30","31","31","31","33","35","34","34","34","21","21","21","21","21","17","18","20","21","21"
"139",RBG00,-12.549831,-63.435928,"30","30","31","30","31","32","34","33","34","34","21","22","21","22","22","19","19","20","22","21"
"140",RBG10,-12.376269,-63.468224,"30","30","31","30","31","32","35","34","34","34","21","22","21","22","22","19","18","20","21","21"
"141",RBG12,-12.394347,-63.458255,"30","30","31","30","31","32","35","34","34","34","21","22","21","22","22","19","18","20","21","21"
"142",RBG21,-12.303438,-63.346578,"30","30","31","30","31","32","34","34","34","34","21","21","21","21","22","19","18","20","21","21"
"143",RBG22,-12.29426,-63.315296,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","21","19","18","20","21","21"
"144",RBG23,-12.308763,-63.321249,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","21","19","18","20","21","21"
"145",RBG26,-12.334778,-63.325406,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","22","19","18","20","21","21"
"146",RBG24,-12.322012,-63.314734,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","21","19","18","20","21","21"
"147",RBG25,-12.332126,-63.297824,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","21","19","18","20","21","21"
"148",RBG27,-12.346984,-63.313226,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","22","19","18","20","21","21"
"149",RBG28,-12.347702,-63.287797,"30","30","31","30","31","32","34","33","34","34","21","22","21","21","22","19","18","20","21","21"
"150",RBG29,-12.314524,-63.336543,"30","30","31","30","31","32","34","34","34","34","21","21","21","21","22","19","18","20","21","21"
"151",RBG30,-12.301138,-63.244523,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","21","19","18","20","21","21"
"152",RBG31,-12.317907,-63.236609,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","21","19","18","20","21","21"
"153",RBG32,-12.335155,-63.239459,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","22","19","18","20","21","21"
"154",RBG33,-12.334878,-63.220402,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","22","19","18","20","21","21"
"155",RBG34,-12.317431,-63.25571,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","22","19","18","20","21","21"
"156",RBG35,-12.326922,-63.276976,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","22","19","18","20","21","21"
"157",RBG36,-12.286028,-63.233666,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","21","19","18","20","21","21"
"158",RBG37,-12.303103,-63.25502,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","22","19","18","20","21","21"
"159",RBG38,-12.320746,-63.376997,"31","30","31","30","31","33","35","34","34","34","21","22","21","21","22","19","18","20","21","21"
"160",RBG39,-12.340336,-63.370823,"30","30","31","30","31","32","34","33","34","34","21","21","21","21","22","19","18","20","21","21"
"161",RBG40,-12.318994,-63.360404,"30","30","31","30","31","32","34","34","34","34","21","21","21","21","22","19","18","20","21","21"
"162",RBG41,-12.556786,-63.439165,"30","30","31","30","31","32","34","33","34","34","21","22","21","22","22","19","19","20","22","21"
"163",RBG42,-12.540374,-63.431624,"30","30","31","30","31","32","34","34","34","34","21","22","21","22","22","19","19","20","22","21"
"164",RBG43,-12.568537,-63.425028,"30","30","31","30","31","32","34","33","34","34","21","22","21","22","22","19","19","20","22","21"
"165",RBG44,-12.550222,-63.414319,"30","30","31","30","31","32","34","33","34","34","21","22","21","22","22","19","19","20","22","21"
"166",RBG45,-12.553224,-63.39196,"30","30","31","30","31","32","34","33","34","34","21","22","21","22","22","19","19","20","22","21"
"167",RBG46,-12.557167,-63.457458,"30","30","31","30","31","32","34","33","34","34","21","22","21","22","22","19","19","20","22","21"
"168",RBG47,-12.555819,-63.475403,"30","30","31","30","31","32","34","33","34","34","21","22","21","22","22","19","19","20","22","21"
"169",RBG48,-12.539097,-63.448927,"30","30","31","30","31","32","34","34","34","34","21","22","21","22","22","19","19","20","22","21"
"170",RBG54,-12.538747,-63.399795,"30","30","31","30","31","32","34","34","34","34","21","22","21","22","22","19","19","20","21","21"
"171",RBG60,-12.568403,-63.21356,"30","30","31","30","31","32","34","34","34","34","21","22","21","22","22","19","18","20","21","21"
"172",RBG61,-12.568749,-63.232696,"30","30","31","30","31","32","34","34","34","34","21","22","21","22","22","19","18","20","21","21"
"173",RBG63,-12.570261,-63.249634,"30","30","31","30","31","32","34","34","34","34","21","22","21","22","22","19","18","20","21","21"
"174",RBG65,-12.55408,-63.24052,"30","30","31","30","31","32","34","34","34","34","21","22","21","22","22","19","18","20","21","21"
"175",RBG66,-12.549829,-63.226998,"30","30","31","30","31","32","34","34","34","34","21","22","21","22","22","19","18","20","21","21"
"176",RBG67,-12.551489,-63.205205,"30","30","31","30","31","32","35","34","34","34","21","22","21","22","22","19","18","20","21","21"
"177",RBG70,-12.535981,-63.230252,"30","30","31","30","31","32","34","34","34","34","21","22","21","22","22","19","19","20","21","21"
"178",RBG75,-12.553764,-63.273438,"30","30","31","30","31","32","34","34","34","34","21","22","21","22","22","19","19","20","21","21"
"179",RBG80,-12.555822,-63.308208,"30","30","31","30","31","32","34","34","34","34","21","22","21","22","22","19","19","20","21","21"
"180",RBG81,-12.541601,-63.315,"30","30","31","30","31","32","34","34","34","34","21","22","21","22","22","19","19","20","21","21"
"181",RBG83,-12.56485,-63.264215,"30","30","31","30","31","32","34","34","34","34","21","22","21","22","22","19","19","20","21","21"
"182",RBG84,-12.632989,-63.397738,"30","30","31","30","31","32","34","33","34","34","21","22","21","22","22","19","19","20","22","21"
